OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SOYUZ-MS 27,2025-072A,2025-05-07T12:15:46.608768,15.49392895,.0002315,51.6346,148.5519,86.8352,273.2901,0,U,63520,999,248,.14445E-3,.7625E-4,0
TJS-17,2025-073A,2025-05-07T21:54:28.761696,1.00270882,.0000812,0.0418,37.4341,54.6631,255.2633,0,U,63524,999,22,0,-.176E-5,0
CZ-3B R/B,2025-073B,2025-05-07T03:56:07.870272,2.26789685,.7334005,19.1803,77.8726,198.8528,103.9598,0,U,63525,999,59,.71761E-3,.90582E-3,-.45757E-6
STARLINK-11669 [DTC],2025-075A,2025-05-08T05:50:58.734240,15.77860534,.0001541,42.9966,197.2933,259.4543,100.6154,0,U,63548,999,517,.59705E-5,.541E-5,0
STARLINK-11665 [DTC],2025-075B,2025-05-07T16:03:35.082720,15.77855600,.0001571,42.9978,200.7252,273.1801,86.8889,0,U,63549,999,509,.25912E-4,.4012E-4,0
STARLINK-11667 [DTC],2025-075C,2025-05-08T05:36:55.862496,15.77857797,.0001689,42.9980,197.2175,277.2601,82.8077,0,U,63550,999,517,.84318E-5,.969E-5,0
STARLINK-11695 [DTC],2025-075D,2025-05-08T05:29:54.256416,15.77859092,.0001573,42.9979,197.1771,271.5901,88.4789,0,U,63551,999,518,.22432E-4,.3407E-4,0
STARLINK-11685 [DTC],2025-075E,2025-05-08T05:22:10.716096,15.77871843,.0001838,42.9991,197.1325,270.5856,89.4804,0,U,63552,999,518,-.37249E-4,-.6981E-4,0
STARLINK-11697 [DTC],2025-075F,2025-05-08T05:15:09.691488,15.77862479,.0003376,42.9979,197.0933,294.6438,65.4080,0,U,63553,999,518,.23623E-4,.3614E-4,0
STARLINK-11680 [DTC],2025-075G,2025-05-07T12:25:28.208640,15.77862830,.0001268,42.9993,201.2963,281.4889,78.5839,0,U,63554,999,507,.39779E-4,.6431E-4,0
STARLINK-11687 [DTC],2025-075H,2025-05-08T05:01:06.470688,15.77857398,.0001801,42.9984,197.0133,255.4254,104.6417,0,U,63555,999,517,.85151E-5,.983E-5,0
STARLINK-11626 [DTC],2025-075J,2025-05-08T06:00:02.000160,15.77856346,.0001666,42.9997,196.6985,261.6003,358.9442,0,U,63556,999,518,.1338E-4,.183E-4,0
STARLINK-11668 [DTC],2025-075K,2025-05-08T06:00:02.000160,15.77849417,.0001747,42.9998,196.6291,261.8899,26.4079,0,U,63557,999,518,.7914E-4,.1329E-3,0
STARLINK-11657 [DTC],2025-075L,2025-05-08T06:00:02.000160,15.77870099,.0001814,42.9999,196.5580,263.6057,52.4347,0,U,63558,999,518,-.12631E-3,-.22436E-3,0
STARLINK-11606 [DTC],2025-075M,2025-05-08T06:00:02.000160,15.77872376,.000153,43.0002,196.4902,260.6753,83.1133,0,U,63559,999,518,-.15251E-3,-.26973E-3,0
STARLINK-11592 [DTC],2025-075N,2025-05-07T22:00:01.999584,15.77854332,.0002035,43.0004,198.4487,283.1607,352.6339,0,U,63560,999,516,.28296E-5,-.7E-7,0
STARLINK-32953,2025-075P,2025-05-07T22:00:01.999584,15.45295661,.0001569,43.0000,201.2062,267.9946,334.9830,0,U,63561,999,517,-.35393E-1,-.1555423E-1,0
STARLINK-32951,2025-075Q,2025-05-07T22:00:01.999584,15.50598976,.0001437,43.0001,200.0809,264.1107,72.8602,0,U,63562,999,518,-.8143E-3,-.47855E-3,0
STARLINK-32958,2025-075R,2025-05-08T06:00:02.000160,15.40690372,.0001703,42.9996,199.3489,266.0735,2.1907,0,U,63563,999,517,.70527E-4,.2643E-4,0
STARLINK-32928,2025-075S,2025-05-07T22:00:01.999584,15.49479472,.0001335,43.0001,201.1601,267.1731,354.6331,0,U,63564,999,517,-.30548E-1,-.155472E-1,0
STARLINK-32687,2025-075T,2025-05-07T22:00:01.999584,15.50600158,.0001539,43.0001,200.0767,265.1001,73.7879,0,U,63565,999,518,-.85145E-3,-.50012E-3,0
STARLINK-32950,2025-075U,2025-05-07T22:00:01.999584,15.59731284,.0001477,42.9999,199.0176,280.3037,124.6538,0,U,63566,999,517,-.19856E-1,-.1461101E-1,0
STARLINK-32954,2025-075V,2025-05-07T22:00:01.999584,15.50620013,.0001053,43.0000,200.0675,268.5784,74.1210,0,U,63567,999,517,-.10903E-2,-.63876E-3,0
STARLINK-32940,2025-075W,2025-05-07T22:00:01.999584,15.50603184,.0001401,43.0001,200.0719,256.4619,84.3380,0,U,63568,999,517,-.83778E-3,-.49224E-3,0
STARLINK-32959,2025-076A,2025-05-07T22:00:01.999584,15.44747117,.0001636,42.9993,255.6182,285.3045,141.1245,0,U,63569,999,481,-.34542E-1,-.1495791E-1,0
STARLINK-32956,2025-076B,2025-05-08T06:00:02.000160,15.44614533,.0001432,42.9994,253.6647,268.0099,222.4535,0,U,63570,999,496,-.34697E-1,-.1495601E-1,0
STARLINK-33722,2025-076C,2025-05-08T06:00:02.000160,15.59479866,.000132,42.9996,251.6387,257.5641,327.3227,0,U,63571,999,503,-.19908E-1,-.14518E-1,0
STARLINK-33739,2025-076D,2025-05-08T06:00:02.000160,15.59480331,.0001361,42.9995,251.6346,255.1383,331.6658,0,U,63572,999,498,-.19909E-1,-.1451907E-1,0
STARLINK-33683,2025-076E,2025-05-08T06:00:02.000160,15.59479505,.0001393,42.9995,251.6239,261.0553,329.5829,0,U,63573,999,492,-.199E-1,-.1451292E-1,0
STARLINK-33724,2025-076F,2025-05-07T13:20:46.272768,15.73812075,.0002628,42.9980,255.5612,288.6352,71.4231,0,U,63574,999,495,.1003E-2,.14822E-2,0
STARLINK-33732,2025-076G,2025-05-08T06:00:02.000160,15.59479266,.0001368,42.9997,251.6294,260.3281,328.3940,0,U,63575,999,482,-.19897E-1,-.1451073E-1,0
